audit_key,field,scenario_id,well_label,component_scope,wbs_level,wbs_id,wbs_desc,estimate_usd,uncertainty_pct,uncertainty_type,estimation_method,source_field_campaign_years,source_wells,source_row_count,support_explanation,synthetic_rows_used,external_adjustment_applied,reconciliation_group,source_row_ids
765c269b41f4d5db,SALAK,SALAK_2026_2w,Well-1,direct_well_linked,L5,E540-30203740760-D245401,Material,0.000000,71.7190,empirical_spread,unit_price_benchmark_allocated_to_anchor_wbs,SALAK_2025,"AWI 2-6, AWI 2-7 ML, AWI 21-7, AWI 21-8, AWI 23-1, AWI 23-2, AWI 3-9",7,"Direct well benchmark allocated by anchor-year WBS distribution. active_day_rate=154338.41 USD/day, estimated_days=22.60, depth_rate=151.65 USD/ft, depth_ft=7000, per_well_job=0.00 USD/well.",0,yes,SALAK_2026_2w,"20d5629d534b145a, 2beb94ea30072008, a78ea4a5e2d77e9e, a79eec22651f4f7c, ad0a5c95a630855b, d715f6ec24ad0590, e1f8ffffb982fa2e"
307c92e61a4cc52e,SALAK,SALAK_2026_2w,Well-1,direct_well_linked,L5,E540-30203740660-D245401,Material,13854.783333,71.7190,empirical_spread,unit_price_benchmark_allocated_to_anchor_wbs,SALAK_2025,"AWI 2-6, AWI 2-7 ML, AWI 21-7, AWI 21-8, AWI 23-1, AWI 23-2, AWI 3-9",7,"Direct well benchmark allocated by anchor-year WBS distribution. active_day_rate=154338.41 USD/day, estimated_days=22.60, depth_rate=151.65 USD/ft, depth_ft=7000, per_well_job=0.00 USD/well.",0,yes,SALAK_2026_2w,"20d5629d534b145a, 2beb94ea30072008, a78ea4a5e2d77e9e, a79eec22651f4f7c, ad0a5c95a630855b, d715f6ec24ad0590, e1f8ffffb982fa2e"
82bd578d83bf015f,SALAK,SALAK_2026_2w,Well-1,direct_well_linked,L5,E540-30203740560-D245401,Material,26881.831748,71.7190,empirical_spread,unit_price_benchmark_allocated_to_anchor_wbs,SALAK_2025,"AWI 2-6, AWI 2-7 ML, AWI 21-7, AWI 21-8, AWI 23-1, AWI 23-2, AWI 3-9",7,"Direct well benchmark allocated by anchor-year WBS distribution. active_day_rate=154338.41 USD/day, estimated_days=22.60, depth_rate=151.65 USD/ft, depth_ft=7000, per_well_job=0.00 USD/well.",0,yes,SALAK_2026_2w,"20d5629d534b145a, 2beb94ea30072008, a78ea4a5e2d77e9e, a79eec22651f4f7c, ad0a5c95a630855b, d715f6ec24ad0590, e1f8ffffb982fa2e"
6952142bf0cad4fb,SALAK,SALAK_2026_2w,Well-1,direct_well_linked,L5,E540-30203740460-D245401,Material,10470.311117,71.7190,empirical_spread,unit_price_benchmark_allocated_to_anchor_wbs,SALAK_2025,"AWI 2-6, AWI 2-7 ML, AWI 21-7, AWI 21-8, AWI 23-1, AWI 23-2, AWI 3-9",7,"Direct well benchmark allocated by anchor-year WBS distribution. active_day_rate=154338.41 USD/day, estimated_days=22.60, depth_rate=151.65 USD/ft, depth_ft=7000, per_well_job=0.00 USD/well.",0,yes,SALAK_2026_2w,"20d5629d534b145a, 2beb94ea30072008, a78ea4a5e2d77e9e, a79eec22651f4f7c, ad0a5c95a630855b, d715f6ec24ad0590, e1f8ffffb982fa2e"
c9a281957f3982dd,SALAK,SALAK_2026_2w,Well-1,direct_well_linked,L5,E540-30203740360-D245401,Material,26144.739367,71.7190,empirical_spread,unit_price_benchmark_allocated_to_anchor_wbs,SALAK_2025,"AWI 2-6, AWI 2-7 ML, AWI 21-7, AWI 21-8, AWI 23-1, AWI 23-2, AWI 3-9",7,"Direct well benchmark allocated by anchor-year WBS distribution. active_day_rate=154338.41 USD/day, estimated_days=22.60, depth_rate=151.65 USD/ft, depth_ft=7000, per_well_job=0.00 USD/well.",0,yes,SALAK_2026_2w,"20d5629d534b145a, 2beb94ea30072008, a78ea4a5e2d77e9e, a79eec22651f4f7c, ad0a5c95a630855b, d715f6ec24ad0590, e1f8ffffb982fa2e"
2f0208947151c802,SALAK,SALAK_2026_2w,Well-1,direct_well_linked,L5,E540-30203740260-D245401,Material,24839.462715,71.7190,empirical_spread,unit_price_benchmark_allocated_to_anchor_wbs,SALAK_2025,"AWI 2-6, AWI 2-7 ML, AWI 21-7, AWI 21-8, AWI 23-1, AWI 23-2, AWI 3-9",7,"Direct well benchmark allocated by anchor-year WBS distribution. active_day_rate=154338.41 USD/day, estimated_days=22.60, depth_rate=151.65 USD/ft, depth_ft=7000, per_well_job=0.00 USD/well.",0,yes,SALAK_2026_2w,"20d5629d534b145a, 2beb94ea30072008, a78ea4a5e2d77e9e, a79eec22651f4f7c, ad0a5c95a630855b, d715f6ec24ad0590, e1f8ffffb982fa2e"
bae4977d4c572942,SALAK,SALAK_2026_2w,Well-1,direct_well_linked,L5,E540-30203740160-D245401,Material,36304.325094,71.7190,empirical_spread,unit_price_benchmark_allocated_to_anchor_wbs,SALAK_2025,"AWI 2-6, AWI 2-7 ML, AWI 21-7, AWI 21-8, AWI 23-1, AWI 23-2, AWI 3-9",7,"Direct well benchmark allocated by anchor-year WBS distribution. active_day_rate=154338.41 USD/day, estimated_days=22.60, depth_rate=151.65 USD/ft, depth_ft=7000, per_well_job=0.00 USD/well.",0,yes,SALAK_2026_2w,"20d5629d534b145a, 2beb94ea30072008, a78ea4a5e2d77e9e, a79eec22651f4f7c, ad0a5c95a630855b, d715f6ec24ad0590, e1f8ffffb982fa2e"
0f0c350cadfc0ef8,SALAK,SALAK_2026_2w,Well-1,direct_well_linked,L5,E540-30203740703-D245401,Service,0.000000,71.7190,empirical_spread,unit_price_benchmark_allocated_to_anchor_wbs,SALAK_2025,"AWI 2-6, AWI 2-7 ML, AWI 21-7, AWI 21-8, AWI 23-1, AWI 23-2, AWI 3-9",7,"Direct well benchmark allocated by anchor-year WBS distribution. active_day_rate=154338.41 USD/day, estimated_days=22.60, depth_rate=151.65 USD/ft, depth_ft=7000, per_well_job=0.00 USD/well.",0,yes,SALAK_2026_2w,"0eadd811fa68b247, 15d0ed0f52e00108, 1603ccd3de09e4e9, 5f1d6eac6bf4ece4, a7e30c029e3b76f6, b731ee7747eb419c, c6a6a9e56568d60a"
a0bd019862003737,SALAK,SALAK_2026_2w,Well-1,direct_well_linked,L5,E540-30203740603-D245401,Service,42798.798140,71.7190,empirical_spread,unit_price_benchmark_allocated_to_anchor_wbs,SALAK_2025,"AWI 2-6, AWI 2-7 ML, AWI 21-7, AWI 21-8, AWI 23-1, AWI 23-2, AWI 3-9",7,"Direct well benchmark allocated by anchor-year WBS distribution. active_day_rate=154338.41 USD/day, estimated_days=22.60, depth_rate=151.65 USD/ft, depth_ft=7000, per_well_job=0.00 USD/well.",0,yes,SALAK_2026_2w,"0eadd811fa68b247, 15d0ed0f52e00108, 1603ccd3de09e4e9, 5f1d6eac6bf4ece4, a7e30c029e3b76f6, b731ee7747eb419c, c6a6a9e56568d60a"
426940a56513e37c,SALAK,SALAK_2026_2w,Well-1,direct_well_linked,L5,E540-30203740503-D245401,Service,38663.804340,71.7190,empirical_spread,unit_price_benchmark_allocated_to_anchor_wbs,SALAK_2025,"AWI 2-6, AWI 2-7 ML, AWI 21-7, AWI 21-8, AWI 23-1, AWI 23-2, AWI 3-9",7,"Direct well benchmark allocated by anchor-year WBS distribution. active_day_rate=154338.41 USD/day, estimated_days=22.60, depth_rate=151.65 USD/ft, depth_ft=7000, per_well_job=0.00 USD/well.",0,yes,SALAK_2026_2w,"0eadd811fa68b247, 15d0ed0f52e00108, 1603ccd3de09e4e9, 5f1d6eac6bf4ece4, a7e30c029e3b76f6, b731ee7747eb419c, c6a6a9e56568d60a"
